numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P2001,CLI-001,2026-04-10,CONFIRMADO,ZONA2,true
P2002,CLI-002,2026-03-07,CONFIRMADO,ZONA2,false
P2003,CLI-002,2026-03-08,CONFIRMADO,ZONA2,false
P2004,CLI-002,2026-03-16,CONFIRMADO,ZONA1,true
P2005,CLI-001,2026-04-14,CONFIRMADO,ZONA1,false
P2006,CLI-001,2026-03-19,CONFIRMADO,ZONA3,false
P2007,CLI-001,2026-03-31,PENDIENTE,ZONA2,false
P2008,CLI-001,2026-04-04,CONFIRMADO,ZONA1,true
P2009,CLI-001,2026-03-21,CONFIRMADO,ZONA1,true
P2010,CLI-001,2026-03-30,CONFIRMADO,ZONA2,false
P2011,CLI-001,2026-03-27,ENTREGADO,ZONA2,false
P2012,CLI-999,2026-03-20,CONFIRMADO,ZONA1,false
P2013,CLI-999,2026-04-10,ENTREGADO,ZONA2,false
P2014,CLI-002,2026-04-13,ERROR_ESTADO,ZONA1,false
P2015,CLI-002,2026-03-18,PENDIENTE,ZONA1,false
P2016,CLI-002,2026-03-31,ENTREGADO,ZONA1,false
P2017,CLI-002,2026-03-31,CONFIRMADO,ZONA2,false
P2018,CLI-001,2026-03-04,PENDIENTE,ZONA1,true
P2019,CLI-001,2026-03-10,PENDIENTE,ZONA2,false
P2020,CLI-999,2026-03-17,ENTREGADO,ZONA1,true
P2021,CLI-002,2026-03-03,ENTREGADO,ZONA2,false
P2022,CLI-002,2026-04-12,PENDIENTE,ZONA3,false
P2023,CLI-999,2026-04-09,ENTREGADO,ZONA2,false
P2024,CLI-002,2026-03-17,CONFIRMADO,ZONA3,false
P2025,CLI-002,2026-03-23,ENTREGADO,ZONA2,false
P2026,CLI-002,2026-04-03,PENDIENTE,ZONA2,true
P2027,CLI-002,2026-03-20,CANCELADO,ZONA1,false
P2028,CLI-001,2026-03-25,ENTREGADO,ZONA2,true
P2029,CLI-001,2026-03-16,PENDIENTE,ZONA2,false
P2030,CLI-999,2026-04-02,CONFIRMADO,ZONA2,false
P2031,CLI-002,2026-03-19,CONFIRMADO,ZONA1,false
P2032,CLI-999,2026-03-30,PENDIENTE,ZONA1,true
P2033,CLI-002,2026-04-01,PENDIENTE,ZONA2,false
P2034,CLI-001,2026-04-14,CONFIRMADO,ZONA1,false
P2035,CLI-002,2026-03-06,PENDIENTE,ZONA2,false
P2036,CLI-002,2026-03-29,CONFIRMADO,ZONA3,false
P2037,CLI-001,2026-04-09,ENTREGADO,ZONA2,false
P2038,CLI-002,2026-04-06,CONFIRMADO,ZONA2,false
P2039,CLI-001,2026-03-04,PENDIENTE,ZONA1,false
P2040,CLI-001,2026-03-27,ENTREGADO,ZONA2,false
P2041,CLI-999,2026-03-20,CONFIRMADO,ZONA2,false
P2042,CLI-001,2026-04-07,CONFIRMADO,ZONA2,false
P2043,CLI-002,2026-03-03,CONFIRMADO,ZONA1,true
P2044,CLI-002,2026-04-02,PENDIENTE,ZONA2,true
P2045,CLI-002,2026-04-05,CONFIRMADO,ZONA3,false
P2046,CLI-001,2026-03-28,PENDIENTE,ZONA2,true
P2047,CLI-999,2026-04-03,ENTREGADO,ZONA1,true
P2048,CLI-002,2026-04-15,PENDIENTE,ZONA2,false
P2049,CLI-001,2026-04-01,PENDIENTE,ZONA1,true
P2050,CLI-999,2026-03-17,CONFIRMADO,ZONA1,false
P2051,CLI-002,2026-03-18,CONFIRMADO,ZONA1,false
P2052,CLI-001,2026-04-04,ENTREGADO,ZONA1,true
P2053,CLI-002,2026-04-03,PENDIENTE,ZONA1,true
P2054,CLI-002,2026-04-03,CONFIRMADO,ZONA3,false
P2055,CLI-002,2026-04-15,ENTREGADO,ZONA2,true
P2056,CLI-002,2026-04-13,PENDIENTE,ZONA3,false
P2057,CLI-001,2026-03-24,ENTREGADO,ZONA1,false
P2058,CLI-001,2026-04-09,ENTREGADO,ZONA2,true
P2059,CLI-002,2026-03-19,ENTREGADO,ZONA2,false
P2060,CLI-002,2026-03-26,CANCELADO,ZONA2,false
P2061,CLI-002,2026-04-13,ENTREGADO,ZONA1,true
P2062,CLI-002,2026-04-12,PENDIENTE,ZONA1,true
P2063,CLI-002,2026-03-31,PENDIENTE,ZONA2,false
P2064,CLI-999,2026-03-29,ENTREGADO,ZONA2,false
P2065,CLI-001,2026-04-14,CONFIRMADO,ZONA2,false
P2066,CLI-002,2026-04-01,PENDIENTE,ZONA2,false
P2067,CLI-002,2026-04-10,ENTREGADO,ZONA2,false
P2068,CLI-002,2026-03-28,CONFIRMADO,ZONA1,false
P2069,CLI-001,2026-03-31,ENTREGADO,ZONA2,true
P2070,CLI-999,2026-03-28,PENDIENTE,ZONA2,false
P2071,CLI-002,2026-04-08,PENDIENTE,ZONA2,false
P2072,CLI-002,2026-03-03,PENDIENTE,ZONA1,true
P2073,CLI-001,2026-03-27,CONFIRMADO,ZONA2,false
P2074,CLI-001,2026-04-07,ENTREGADO,ZONA3,false
